ord,edon,seccion,munn,dis1994,dis1997,dis2000,dis2003,dis2006,dis2009,dis2012,dis2013.1,dis2013.3
5512,6,263,8,2,2,2,2,2,2,2,1,1
5513,6,264,8,2,2,2,2,2,2,2,1,1
5514,6,265,8,2,2,2,2,2,2,2,1,1
5515,6,266,8,2,2,2,2,2,2,2,1,1
5516,6,267,8,2,2,2,2,2,2,2,1,1
5517,6,268,8,2,2,2,2,2,2,2,1,1
5518,6,269,8,2,2,2,2,2,2,2,1,1
5519,6,270,9,2,2,2,2,2,2,2,2,2
5520,6,271,9,2,2,2,2,2,2,2,2,2
5521,6,272,9,2,2,2,2,2,2,2,2,2
5522,6,273,9,2,2,2,2,2,2,2,2,2
5523,6,274,9,2,2,2,2,2,2,2,2,2
5524,6,275,9,2,2,2,2,2,2,2,2,2
5525,6,276,9,2,2,2,2,2,2,2,2,2
5526,6,277,10,2,2,2,2,2,2,2,1,1
5527,6,278,10,2,2,2,2,2,2,2,1,1
5528,6,279,10,2,2,2,2,2,2,2,1,1
5529,6,280,10,2,2,2,2,2,2,2,1,1
5530,6,281,10,2,2,2,2,2,2,2,1,1
5531,6,282,10,2,2,2,2,2,2,2,1,1
5532,6,283,10,2,2,2,2,2,2,2,1,1
5533,6,284,10,2,2,2,2,2,2,2,1,1
5534,6,285,10,2,2,2,2,2,2,2,1,1
5535,6,286,10,2,2,2,2,2,2,2,1,1
5536,6,287,10,2,2,2,2,2,2,2,1,1
5537,6,288,10,2,2,2,2,2,2,2,1,1
5538,6,289,10,2,2,2,2,2,2,2,1,1
5539,6,290,10,2,2,2,2,2,2,2,1,1
5540,6,291,10,2,2,2,2,2,2,2,1,1
5541,6,292,10,2,2,2,2,2,2,2,1,1
5542,6,293,10,2,2,2,2,2,2,2,1,1
5543,6,294,10,2,2,2,2,2,2,2,1,1
5544,6,295,10,2,2,2,2,2,2,2,1,1
5545,6,296,10,2,2,2,2,2,2,2,1,1
5546,6,297,10,2,2,2,2,2,2,2,1,1
5547,6,298,10,2,2,2,2,2,2,2,1,1
5548,6,299,10,2,2,2,2,2,2,2,1,1
5549,6,300,10,2,2,2,2,2,2,2,1,1
5550,6,301,10,2,2,2,2,2,2,2,1,1
5551,6,302,10,2,2,2,2,2,2,2,1,1
5552,6,303,10,2,2,2,2,2,2,2,1,1
5553,6,304,10,2,2,2,2,2,2,2,1,1
5554,6,305,10,2,2,2,2,2,2,2,1,1
5555,6,306,10,2,2,2,2,2,2,2,1,1
5556,6,307,10,2,2,2,2,2,2,2,1,1
5557,6,308,10,2,2,2,2,2,2,2,1,1
5558,6,309,10,2,2,2,2,2,2,2,1,1
5559,6,310,10,2,2,2,2,2,2,2,1,1
5560,6,311,10,2,2,2,2,2,2,2,1,1
5561,6,312,10,2,2,2,2,2,2,2,1,1
5562,6,313,10,2,2,2,2,2,2,2,1,1
5563,6,314,10,2,2,2,2,2,2,2,1,1
5564,6,315,10,2,2,2,2,2,2,2,1,1
5565,6,316,10,2,2,2,2,2,2,2,1,1
5566,6,317,10,2,2,2,2,2,2,2,1,1
5567,6,318,10,2,2,2,2,2,2,2,1,1
5568,6,319,10,2,2,2,2,2,2,2,1,1
5569,6,320,10,2,2,2,2,2,2,2,1,1
5570,6,321,10,2,2,2,2,2,2,2,1,1
5571,6,322,10,2,2,2,2,2,2,2,1,1
5572,6,323,10,2,2,2,2,2,2,2,1,1
5573,6,324,10,2,2,2,2,2,2,2,1,1
5574,6,325,10,2,2,2,2,2,2,2,1,1
5575,6,326,10,2,2,2,2,2,2,2,1,1
5576,6,327,10,2,2,2,2,2,2,2,1,1
5577,6,328,10,2,2,2,2,2,2,2,1,1
5578,6,329,10,2,2,2,2,2,2,2,1,1
5579,6,330,10,2,2,2,2,2,2,2,1,1
5580,6,331,10,2,2,2,2,2,2,2,1,1
5581,6,332,10,2,2,2,2,2,2,2,1,1
5582,6,333,10,2,2,2,2,2,2,2,1,1
5583,6,334,10,2,2,2,2,2,2,2,1,1
5584,6,335,10,2,2,2,2,2,2,2,1,1
5585,6,336,10,2,2,2,2,2,2,2,1,1
5586,6,337,5,[163][1-36],[163][1-36],[163][1-36],[163][1-36],[163][1-36],[163][1-36],1,2,2
5587,6,338,5,[163][2-36],[163][2-36],[163][2-36],[163][2-36],[163][2-36],[163][2-36],1,2,2
5588,6,339,5,[163][3-36],[163][3-36],[163][3-36],[163][3-36],[163][3-36],[163][3-36],1,2,2
5589,6,340,5,[163][4-36],[163][4-36],[163][4-36],[163][4-36],[163][4-36],[163][4-36],1,2,2
5590,6,341,5,[163][5-36],[163][5-36],[163][5-36],[163][5-36],[163][5-36],[163][5-36],1,2,2
5591,6,342,5,[163][6-36],[163][6-36],[163][6-36],[163][6-36],[163][6-36],[163][6-36],1,2,2
5592,6,343,5,[163][7-36],[163][7-36],[163][7-36],[163][7-36],[163][7-36],[163][7-36],1,2,2
5593,6,344,5,[163][8-36],[163][8-36],[163][8-36],[163][8-36],[163][8-36],[163][8-36],1,2,2
5594,6,345,5,[163][9-36],[163][9-36],[163][9-36],[163][9-36],[163][9-36],[163][9-36],1,2,2
5595,6,346,5,[163][10-36],[163][10-36],[163][10-36],[163][10-36],[163][10-36],[163][10-36],1,2,2
